County,Age65AndOlderPct2020,AvgHHSize,Ed1LessThanHSPct,Ed5CollegePlusPct,Net_InterMigrationRate_2020_2021,OwnHomePct,Under18Pct2020,PctEmpChange2021,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrans,PctEmpServices,PctEmpTrade,UnempRate2021,Deep_Pov_All,Median_HH_Inc_ACS,PerCapitaInc,Poverty_Rate_ACS,POPESTIMATE2021,PopDensity2020
Shawnee,18.66,2.36,6.8,32.28,0.02,66.85,23.35,2.9,0.823228651,0.18176701,6.339564228,9.994840162,5.750873654,45.91434669,12.01069494,3.1,5.695444676,59848,33083,12.27433927,178264,328.86
Sheridan,23.54,2.42,4.16,22.85,0,77.69,24.85,0.4,31.05454545,0.436363636,5.818181818,3.418181818,1.163636364,34.98181818,16,1.8,2.476269088,68952,40943,6.520841932,2478,2.73
Sherman,20.06,2.53,9.74,21.42,0,63.29,24.38,0.2,9.778225807,0,6.25,6.384408602,7.022849462,45.63172043,16.59946237,2.5,4.631097024,58830,31363,10.30110935,5895,5.61
Smith,28.12,2.32,3.83,21.37,0,83.74,19.89,1.9,12.75327771,0.059594756,7.210965435,12.0977354,4.231227652,34.80333731,16.68653159,1.7,3.378762067,48051,30035,8.40431573,3576,3.99
Stafford,21.59,2.54,7.79,26.38,-0.02,80.46,23.53,-0.8,16.95607763,1.327885598,5.362614913,7.405515833,2.553626149,42.33912155,12.10418795,2.2,4.142606076,54188,28946,10.31885513,4034,5.14
Stanton,17.37,2.47,18.44,14.97,0.05,76.62,28.69,3.3,27.40899358,0.428265525,4.710920771,1.391862955,9.314775161,26.87366167,18.84368308,1.9,12.57281553,60607,31231,18.6407767,2044,3.06
Stevens,15.24,2.95,26.13,12.23,0.13,67.31,28.44,3.5,15.44955678,3.123680878,8.864499789,6.838328409,9.244406923,34.52933727,12.4102997,2.1,6.201996928,61267,23596,14.093702,5293,7.22
Sumner,19.17,2.48,6.66,25.45,0,71.51,24.4,3.2,4.276514389,0.311933991,4.960756692,19.19903401,6.439927551,41.29603542,11.88367881,4.1,3.59611475,54854,28922,10.96905354,22385,18.94
Thomas,17.76,2.37,7.92,24.15,-0.01,69.74,23.68,1.5,10.74280184,0.459714493,3.895475442,2.274376966,4.718122429,43.40672635,21.07428018,1.8,3.585284281,69844,34065,7.66555184,7877,7.38
Trego,25.71,2.1,5.3,23.76,0.04,82.29,20.76,-0.7,12.9076087,3.532608696,8.288043478,12.70380435,7.269021739,34.23913043,10.80163043,2.1,2.165137615,78529,38731,7.633027523,2793,3.16
Wabaunsee,20.58,2.68,3.58,24.31,0.01,80.69,24.44,2.6,5.512048193,0.271084337,10.54216867,11.38554217,6.084337349,45.06024096,10.18072289,2.5,2.93987295,66589,31317,6.175210519,6966,8.66
Wallace,22.49,2.27,4.3,28.32,0,69.64,25.66,6.3,25.76177285,0,8.864265928,2.077562327,2.908587258,38.36565097,10.8033241,1.7,3.462050599,56538,31680,11.51797603,1508,1.65
Washington,23.92,2.38,6.32,22.42,0,78.32,23.51,0.6,17.23052714,0.078678206,7.277734068,10.2675059,8.025177026,37.33280881,12.15578285,1.7,3.211517165,53491,29421,10.29900332,5511,6.18
Wichita,20.45,2.37,13.4,18.04,0.09,78.04,26.86,-5.2,25.58823529,0,4.901960784,7.352941177,3.039215686,38.62745098,5,2,1.456082668,63306,29463,12.91686238,2082,2.99
Wilson,22.4,2.48,9.34,18.35,0,74.63,23.41,2.1,4.736303123,1.53609831,6.528417819,19.27803379,5.811571941,44.80286738,10.31746032,4,7.81705752,52514,29533,16.19414304,8526,15.12
Woodson,24.91,2.55,9.38,20.42,0,85.04,21.28,0.3,10.93871218,3.258339798,10.55081458,13.34367727,8.766485648,35.14352211,10.47323507,3.5,6.596221582,45234,27377,12.74415626,3102,6.26
Wyandotte,12.59,2.74,18.83,19.27,0.15,59.89,26.99,3.1,0.506101477,0.032113038,10.92100193,12.86062942,7.334617855,41.9640334,14.68464997,4.7,6.914167914,52366,25171,17.66767038,167046,1116.12
Kentucky,16.68,2.5,12.35,25.71,0.03,67.79,22.68,2.9,1.361198695,0.52050956,6.098243815,14.28504593,6.571619836,45.55225129,14.26996518,4.7,7.339566767,55454,30634,16.2677347,4509394,114.10
Adair,18.79,2.53,14.81,18.94,0.02,76.65,21.38,5.8,1.92408377,0.183246073,6.12565445,16.09947644,8.023560209,42.73560209,16.41361257,5,5.999426441,46652,23649,18.23343849,18932,46.64
Allen,17.82,2.68,14.08,17.4,0,75.59,24.03,4.1,3.960511034,0,6.655052265,19.51219512,9.50058072,37.57259001,13.89082462,4,9.140974578,47495,24818,18.38520922,20797,59.79
Anderson,16.12,2.6,8.87,25.3,0,78.96,23.41,3.9,1.886792453,0.110987791,6.270810211,14.90935997,5.151683315,42.03662597,11.43174251,4,5.580404686,59887,30294,13.70820021,24035,117.98
Ballard,20.99,2.62,10.79,16.11,0,81.15,20.85,5.2,1.912399753,0.647748304,11.65946946,10.36397286,11.22763726,43.05983961,14.15792721,5,7.641239261,52695,29639,14.03280396,7695,31.30
Barren,17.57,2.52,15.76,17.17,0,66.63,24.01,1.9,3.3715886,0.159244413,5.837131404,23.58464664,4.590632036,41.00269068,14.23315579,5.3,9.740484829,44254,24402,23.58745638,44544,91.24
Bath,17.05,2.65,17.98,14.87,0.02,74.45,25.47,4.6,2.88884237,0.502407369,5.693950178,20.66150304,5.673016538,40.06698765,15.57462843,5.8,10.34976153,46375,24942,22.51192369,12778,45.73
Bell,19.65,2.52,24.68,9.94,0,62.85,21.17,2.5,3.419631732,3.281185103,3.391942406,13.23549772,6.576214869,43.66606673,15.40910979,5.7,9.636378905,32123,17542,28.30030232,23858,67.11
Boone,13.87,2.75,6.82,33.96,0.06,76.87,26.35,2.9,0.484419059,0.203889813,6.220808329,14.00477189,8.635673487,42.11409153,15.92798785,3.8,3.210833465,87034,38292,6.079929099,137412,552.07
Bourbon,19.34,2.47,14.21,23.07,-0.01,64.02,23.46,2.9,9.147923875,0,7.817906574,13.79757785,4.779411765,41.05752595,14.6950692,3.9,5.477323979,53277,29783,13.69080431,20229,69.90
Boyd,19.96,2.56,11.75,20.61,0,67.52,21.3,1,0.456008584,1.287553648,5.198497854,8.728540773,5.354077253,52.40343348,15.56330472,6.2,7.722181693,53077,27596,17.62648586,47899,301.88
Boyle,19.07,2.37,10.3,26.7,0.03,69.47,20.54,3,1.605148883,0.263647643,4.326923077,18.34677419,5.07133995,43.58715881,17.09832506,5,7.163146395,54234,27797,14.5193008,30747,169.75
Bracken,17.46,2.68,11.13,12.97,0,74.97,24.29,3.1,1.324324324,1,12.18918919,20.91891892,8.972972973,31.24324324,14.97297297,4.7,8.498549323,63277,26635,18.4115087,8439,41.44
Breathitt,17.67,2.42,22.54,16.86,0,71.9,22.2,1.7,0.410303169,3.008889902,8.935491224,7.818554821,2.91771142,55.93799863,12.26350581,8.6,12.93387193,32259,20654,31.29862358,13553,27.86
Breckinridge,19.81,2.66,13.91,14.16,0,82.16,23.11,4.6,2.721863527,0.063299152,6.557792126,28.1048234,4.658817572,34.82719332,15.57159134,5.2,8.744181391,49919,25775,19.51048601,20651,35.86
